"docID","edinetCode","filerName","secCode","periodEnd"
"S100G6IW","E03717","第一商品","87460","2019-03-31"
"S100G9AI","E03784","極東証券","87060","2019-03-31"
"S100GCOO","E05297","ソフトフロントホールディングス","23210","2019-03-31"
"S100G8Y7","E03003","ほくやく・竹山ホールディングス","30550","2019-03-31"
"S100G9EX","E21955","川田テクノロジーズ","34430","2019-03-31"
"S100GBO5","E01441","トーアミ","59730","2019-03-31"
"S100G707","E03739","岡藤ホールディングス","87050","2019-03-31"
"S100G9MC","E00081","若築建設","18880","2019-03-31"
"S100G97J","E00501","ダイショー","28160","2019-03-31"
"S100GBPA","E00255","大本組","17930","2019-03-31"
"S100GBVE","E01478","三浦工業","60050","2019-03-31"
"S100G6ZB","E02588","ツカモトコーポレーション","80250","2019-03-31"
"S100G9WW","E24453","パピレス","36410","2019-03-31"
"S100G3QX","E02666","電響社","81440","2019-03-31"
"S100G6RD","E01581","オリエンタルチエン工業","63800","2019-03-31"
"S100G57G","E02759","平和紙業","99290","2019-03-31"
"S100G9U2","E00439","中部飼料","20530","2019-03-31"
"S100G606","E00986","免疫生物研究所","45700","2019-03-31"
"S100G59I","E05521","ＵＬＳグループ","37980","2019-03-31"
"S100GBHI","E00260","ナカボーテック","17870","2019-03-31"
"S100G94C","E03295","安楽亭","75620","2019-03-31"
"S100GCJK","E03669","宮崎太陽銀行","85600","2019-03-31"
"S100GCCA","E00988","富士フイルムホールディングス","49010","2019-03-31"
"S100GB3Q","E02530","ＯＵＧホールディングス","80410","2019-03-31"
"S100GCSI","E00382","日糧製パン","22180","2019-03-31"
"S100GBLQ","E01445","中西製作所","59410","2019-03-31"
"S100GB44","E02845","日新商事","74900","2019-03-31"
"S100GCIL","E03756","岡三証券グループ","86090","2019-03-31"
"S100GBX5","E04206","日本ロジテム","90600","2019-03-31"
"S100GBUL","E01761","帝国電機製作所","63330","2019-03-31"
"S100GC38","E02807","ハリマ共和物産","74440","2019-03-31"
"S100GB8H","E02798","山大","74260","2019-03-31"
"S100GCL0","E32146","昭栄薬品","35370","2019-03-31"
"S100GBIA","E00786","日本化学産業","40940","2019-03-31"
"S100G797","E02878","栄電子","75670","2019-03-31"
"S100GBQ7","E03405","エフティグループ","27630","2019-03-31"
"S100G9G9","E00612","フジコー","35150","2019-03-31"
"S100G7O1","E00388","コモ","22240","2019-03-31"
"S100GAOK","E01848","日本アンテナ","69300","2019-03-31"
"S100GCSD","E01131","日本坩堝","53550","2019-03-31"
"S100GBUC","E34716","エヌ・シー・エヌ","70570","2019-03-31"
"S100G52A","E02840","ドウシシャ","74830","2019-03-31"
"S100G3QR","E00558","日本製麻","33060","2019-03-31"
"S100GCT2","E00458","丸大食品","22880","2019-03-31"
"S100GCP6","E03581","紀陽銀行","83700","2019-03-31"
"S100G89S","E01280","日本精線","56590","2019-03-31"
"S100GB83","E04800","東海リース","97610","2019-03-31"
"S100G749","E05025","オービック","46840","2019-03-31"
"S100G3PN","E00181","四電工","19390","2019-03-31"
"S100GCTQ","E03723","小林洋行","87420","2019-03-31"
"S100GC03","E01364","瀧上工業","59180","2019-03-31"
"S100GCTD","E00931","日本新薬","45160","2019-03-31"
"S100GA6Y","E01143","旭コンクリート工業","52680","2019-03-31"
"S100G8EG","E01960","芝浦電子","69570","2019-03-31"
"S100GC3L","E01259","大和工業","54440","2019-03-31"
"S100GC6D","E01598","リケン","64620","2019-03-31"
"S100GC3Y","E00456","ユアサ・フナショク","80060","2019-03-31"
"S100G6Z6","E05201","アズジェント","42880","2019-03-31"
"S100GC2Q","E00494","仙波糖化工業","29160","2019-03-31"
"S100G8UI","E00724","廣済堂","78680","2019-03-31"
"S100GCTR","E04223","南総通運","90340","2019-03-31"
"S100G8Y6","E02383","重松製作所","79800","2019-03-31"
"S100GCLX","E02093","リバーエレテック","66660","2019-03-31"
"S100GA0Z","E01426","天龍製鋸","59450","2019-03-31"
"S100GA92","E01681","川重冷熱工業","64140","2019-03-31"
"S100GC47","E01704","サンセイ","63070","2019-03-31"
"S100GC7Q","E03310","魚力","75960","2019-03-31"
"S100GC1U","E03622","山口フィナンシャルグループ","84180","2019-03-31"
