"labelString","fact","startDate","endDate","elementId","contextId","roleId"
"現金及び預金","2934075000",NA,"2018-03-31","CashAndDeposits","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"現金及び預金","2910686000",NA,"2019-03-31","CashAndDeposits","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"委託者未収金","57925000",NA,"2018-03-31","AccountsReceivableCustomerCACMD","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"委託者未収金","48436000",NA,"2019-03-31","AccountsReceivableCustomerCACMD","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"売掛金",NA,NA,"2018-03-31","AccountsReceivableTrade","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"売掛金","49464000",NA,"2019-03-31","AccountsReceivableTrade","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"商品","598270000",NA,"2018-03-31","Merchandise","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"商品","623749000",NA,"2019-03-31","Merchandise","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"貯蔵品","2279000",NA,"2018-03-31","Supplies","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"貯蔵品","1830000",NA,"2019-03-31","Supplies","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"前払費用","61112000",NA,"2018-03-31","PrepaidExpenses","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"前払費用","59820000",NA,"2019-03-31","PrepaidExpenses","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"保管有価証券","3618815000",NA,"2018-03-31","SecuritiesInCustodyCACMD","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"保管有価証券","2425373000",NA,"2019-03-31","SecuritiesInCustodyCACMD","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"差入保証金","9822089000",NA,"2018-03-31","GuaranteeDepositsCACMD","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"差入保証金","8880051000",NA,"2019-03-31","GuaranteeDepositsCACMD","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"未収入金","399834000",NA,"2018-03-31","AccountsReceivableOther","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"未収入金","233775000",NA,"2019-03-31","AccountsReceivableOther","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"その他","199522000",NA,"2018-03-31","OtherCA","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"その他","6922000",NA,"2019-03-31","OtherCA","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"貸倒引当金","-86000",NA,"2018-03-31","AllowanceForDoubtfulAccountsCA","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"貸倒引当金","-133000",NA,"2019-03-31","AllowanceForDoubtfulAccountsCA","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"流動資産","21333580000",NA,"2018-03-31","CurrentAssets","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"流動資産","16565382000",NA,"2019-03-31","CurrentAssets","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"建物","432380000",NA,"2018-03-31","Buildings","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"建物","411102000",NA,"2019-03-31","Buildings","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"減価償却累計額","-341674000",NA,"2018-03-31","AccumulatedDepreciationBuildings","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"減価償却累計額","-328717000",NA,"2019-03-31","AccumulatedDepreciationBuildings","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"建物（純額）","90705000",NA,"2018-03-31","BuildingsNet","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"建物（純額）","82384000",NA,"2019-03-31","BuildingsNet","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"構築物","22836000",NA,"2018-03-31","Structures","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"構築物","22850000",NA,"2019-03-31","Structures","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"減価償却累計額","-22836000",NA,"2018-03-31","AccumulatedDepreciationStructures","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
"減価償却累計額","-22850000",NA,"2019-03-31","AccumulatedDepreciationStructures","CurrentYearInstant_NonConsolidatedMember","BalanceSheet"
"構築物（純額）","0",NA,"2018-03-31","StructuresNet","Prior1YearInstant_NonConsolidatedMember","BalanceSheet"
