"labelString","fact","startDate","endDate","elementId","contextId","roleId"
"現金及び預金","9278000000",NA,"2018-03-31","CashAndDeposits","Prior1YearInstant","ConsolidatedBalanceSheet"
"現金及び預金","14440000000",NA,"2019-03-31","CashAndDeposits","CurrentYearInstant","ConsolidatedBalanceSheet"
"預託金","10369000000",NA,"2018-03-31","CashSegregatedAsDepositsCASEC","Prior1YearInstant","ConsolidatedBalanceSheet"
"預託金","9139000000",NA,"2019-03-31","CashSegregatedAsDepositsCASEC","CurrentYearInstant","ConsolidatedBalanceSheet"
"トレーディング商品","30134000000",NA,"2018-03-31","TradingProductsCASEC","Prior1YearInstant","ConsolidatedBalanceSheet"
"トレーディング商品","27159000000",NA,"2019-03-31","TradingProductsCASEC","CurrentYearInstant","ConsolidatedBalanceSheet"
"商品有価証券等","30008000000",NA,"2018-03-31","TradingSecuritiesAndOtherCASEC","Prior1YearInstant","ConsolidatedBalanceSheet"
"商品有価証券等","27159000000",NA,"2019-03-31","TradingSecuritiesAndOtherCASEC","CurrentYearInstant","ConsolidatedBalanceSheet"
"デリバティブ取引","125000000",NA,"2018-03-31","DerivativesCASEC","Prior1YearInstant","ConsolidatedBalanceSheet"
"デリバティブ取引",NA,NA,"2019-03-31","DerivativesCASEC","CurrentYearInstant","ConsolidatedBalanceSheet"
"約定見返勘定","1317000000",NA,"2018-03-31","TradeDateAccrualCASEC","Prior1YearInstant","ConsolidatedBalanceSheet"
"約定見返勘定","552000000",NA,"2019-03-31","TradeDateAccrualCASEC","CurrentYearInstant","ConsolidatedBalanceSheet"
"営業投資有価証券","0",NA,"2018-03-31","OperationalInvestmentSecuritiesCA","Prior1YearInstant","ConsolidatedBalanceSheet"
"営業投資有価証券","0",NA,"2019-03-31","OperationalInvestmentSecuritiesCA","CurrentYearInstant","ConsolidatedBalanceSheet"
"金銭の信託","2571000000",NA,"2018-03-31","MoneyHeldInTrustCA","Prior1YearInstant","ConsolidatedBalanceSheet"
"金銭の信託",NA,NA,"2019-03-31","MoneyHeldInTrustCA","CurrentYearInstant","ConsolidatedBalanceSheet"
"信用取引資産","5568000000",NA,"2018-03-31","MarginTransactionAssetsCASEC","Prior1YearInstant","ConsolidatedBalanceSheet"
"信用取引資産","2510000000",NA,"2019-03-31","MarginTransactionAssetsCASEC","CurrentYearInstant","ConsolidatedBalanceSheet"
"信用取引貸付金","5463000000",NA,"2018-03-31","LoansOnMarginTransactionsCASEC","Prior1YearInstant","ConsolidatedBalanceSheet"
