"elementId","labelString"
"jppfs_cor_AssetsAbstract","資産の部"
"jppfs_cor_CurrentAssetsAbstract","流動資産"
"jppfs_cor_CashAndDeposits","現金及び預金"
"jppfs_cor_NotesAndAccountsReceivableTrade","受取手形及び売掛金"
"jppfs_cor_AllowanceForDoubtfulAccountsNotesAndAccountsReceivableTrade","貸倒引当金"
"jppfs_cor_NotesAndAccountsReceivableTradeNet","受取手形及び売掛金（純額）"
"jppfs_cor_NotesReceivableTrade","受取手形"
"jppfs_cor_AllowanceForDoubtfulAccountsNotesReceivableTrade","貸倒引当金"
"jppfs_cor_NotesReceivableTradeNet","受取手形（純額）"
"jppfs_cor_AccountsReceivableTrade","売掛金"
"jppfs_cor_AllowanceForDoubtfulAccountsAccountsReceivableTrade","貸倒引当金"
"jppfs_cor_AccountsReceivableTradeNet","売掛金（純額）"
"jppfs_cor_ShortTermInvestmentSecurities","有価証券"
"jppfs_cor_StocksOfParentCompanyCA","親会社株式"
"jppfs_cor_MoneyHeldInTrustCA","金銭の信託"
"jppfs_cor_Inventories","たな卸資産"
"jppfs_cor_Merchandise","商品"
"jppfs_cor_FinishedGoods","製品"
"jppfs_cor_SemiFinishedGoods","半製品"
"jppfs_cor_RawMaterials","原材料"
"jppfs_cor_WorkInProcess","仕掛品"
"jppfs_cor_Supplies","貯蔵品"
"jppfs_cor_ByProduct","副産物"
"jppfs_cor_PartlyFinishedWork","半成工事"
"jppfs_cor_GoodsInTransit","未着商品"
"jppfs_cor_RawMaterialsInTransit","未着原材料"
"jppfs_cor_AdvancePaymentsTrade","前渡金"
"jppfs_cor_PrepaidExpenses","前払費用"
"jppfs_cor_DeferredTaxAssetsCA","繰延税金資産"
"jppfs_cor_AccruedIncome","未収収益"
"jppfs_cor_ShortTermClaimsOnShareholdersDirectorsOrEmployees","株主、役員又は従業員に対する短期債権"
"jppfs_cor_AllowanceForDoubtfulAccountsShortTermClaimsOnShareholdersDirectorsOrEmployees","貸倒引当金"
"jppfs_cor_ShortTermClaimsOnShareholdersDirectorsOrEmployeesNet","株主、役員又は従業員に対する短期債権（純額）"
"jppfs_cor_ShortTermLoansReceivable","短期貸付金"
"jppfs_cor_AllowanceForDoubtfulAccountsShortTermLoans","貸倒引当金"
"jppfs_cor_ShortTermLoansReceivableNet","短期貸付金（純額）"
"jppfs_cor_ShortTermLoansReceivableToSubsidiariesAndAffiliates","関係会社短期貸付金"
"jppfs_cor_AllowanceForDoubtfulAccountsShortTermLoansReceivableFromSubsidiariesAndAffiliates","貸倒引当金"
"jppfs_cor_ShortTermLoansReceivableToSubsidiariesAndAffiliatesNet","関係会社短期貸付金（純額）"
"jppfs_cor_AccountsReceivableOther","未収入金"
"jppfs_cor_ConsumptionTaxesReceivable","未収消費税等"
"jppfs_cor_IncomeTaxesReceivable","未収還付法人税等"
"jppfs_cor_NonOperatingNotesReceivable","営業外受取手形"
"jppfs_cor_OtherCA","その他"
"jppfs_cor_AllowanceForDoubtfulAccountsCA","貸倒引当金"
"jppfs_cor_CurrentAssets","流動資産"
"jppfs_cor_NoncurrentAssetsAbstract","固定資産"
"jppfs_cor_PropertyPlantAndEquipmentAbstract","有形固定資産"
"jppfs_cor_BuildingsAndStructures","建物及び構築物"
"jppfs_cor_AccumulatedDepreciationBuildingsAndStructures","減価償却累計額"
"jppfs_cor_AccumulatedImpairmentLossBuildingsAndStructures","減損損失累計額"
"jppfs_cor_AccumulatedDepreciationAndImpairmentLossBuildingsAndStructures","減価償却累計額及び減損損失累計額"
"jppfs_cor_BuildingsAndStructuresNet","建物及び構築物（純額）"
"jppfs_cor_MachineryEquipmentAndVehicles","機械装置及び運搬具"
"jppfs_cor_AccumulatedDepreciationMachineryEquipmentAndVehicles","減価償却累計額"
